vin,n_events,n_fail,fail_rate,worst_severity,first_fail,last_fail
02823,7533,0,0.0,3.0,2016-02-29 21:11:09,2018-05-14 20:23:50
02824,414,0,0.0,3.0,2016-11-30 20:12:20,2021-06-11 15:57:02
02825,1567,0,0.0,3.0,2020-11-06 18:49:09,2021-10-05 20:13:33
02826,9157,0,0.0,3.0,2016-11-28 16:24:20,2021-09-07 20:17:43
02827,5277,0,0.0,3.0,2020-11-03 17:54:16,2021-09-01 20:39:56
02828,845,0,0.0,3.0,2016-12-13 13:35:34,2021-06-08 16:59:36
02829,226,0,0.0,3.0,2020-12-09 15:10:50,2021-09-22 19:52:42
02830,4571,0,0.0,3.0,2016-04-15 19:03:15,2021-07-30 15:00:10
02831,436,0,0.0,2.9,2020-10-19 19:27:21,2021-08-24 18:30:16
02832,307,0,0.0,3.0,2020-10-13 13:30:17,2021-06-23 13:27:57
02833,1031,0,0.0,3.0,2020-10-01 12:23:54,2021-07-24 13:50:53
02834,115,0,0.0,3.0,2021-02-01 20:19:12,2021-08-20 14:50:44
02835,1262,0,0.0,3.0,2021-08-09 18:33:06,2021-08-25 19:42:35
02836,3,0,0.0,0.7,2021-02-05 19:39:41,2021-03-17 20:23:41
