signal_name,n_files_present,pct_files_present_opened,pct_files_present_catalog,n_unique_vins,pct_vins_present,first_seen_date,last_seen_date,n_files_empty,pct_files_empty_among_present,min_non_empty_length,max_non_empty_length
EngPctLdAtCurSpd,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
EngPctTorq,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
EngRemPTOGovernorPreProgSpdCtrlSwtch,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
EngRemPTOGovernorVarSpdCtrlSwtch,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
EngRetLvlSwtch_1587,21231,0.9991529013130028,0.9991529013130028,96,1.0,20121008,20211006,0,0.0,1,86401
EngRetSwtch_1587,21231,0.9991529013130028,0.9991529013130028,96,1.0,20121008,20211006,0,0.0,1,86401
EngRetarderStat_1587,20988,0.987717069038543,0.987717069038543,96,1.0,20121008,20211006,0,0.0,1,86401
EngRtdPwr,18516,0.8713821826909501,0.8713821826909501,96,1.0,20121008,20211006,0,0.0,1,75
EngRtdSpeed,18516,0.8713821826909501,0.8713821826909501,96,1.0,20121008,20211006,0,0.0,1,75
EngSpeed,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
EngSpeed_1587,20988,0.987717069038543,0.987717069038543,96,1.0,20121008,20211006,0,0.0,1,86401
FrontAxleSpd,21048,0.9905407313285332,0.9905407313285332,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
FuelRate,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
FuelRate_1587,20988,0.987717069038543,0.987717069038543,96,1.0,20121008,20211006,0,0.0,1,86401
FuelTemp,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
HiResTotVehDist,20106,0.9462092333756884,0.9462092333756884,96,1.0,20121008,20211006,0,0.0,1,75
HiResTripDist,19562,0.9206080286131112,0.9206080286131112,96,1.0,20121008,20211006,0,0.0,1,31
IdleShutDwnTimeStat_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
IdleShutDwnTimerStatDriverAlertMode_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
IdleShutDwnTimerStatEngShtDwn_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
IdleShutDwnTimerStatTimerFunc_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
IdleShutDwnTimerStatTimerOverride_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
InjCtlPres,21234,0.9992940844275024,0.9992940844275024,96,1.0,20121008,20211006,0,0.0,1,86401
InjCtrlPres_1587,16888,0.794766812555885,0.794766812555885,96,1.0,20121008,20211006,0,0.0,1,86401
InpSftSp,20659,0.9722339874817638,0.9722339874817638,96,1.0,20121008,20211006,0,0.0,1,86401
InstFuelEco,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
InstFuelEco_1587,20988,0.987717069038543,0.987717069038543,96,1.0,20121008,20211006,0,0.0,1,86401
IntManfTemp,21234,0.9992940844275024,0.9992940844275024,96,1.0,20121008,20211006,0,0.0,1,86401
IntManfTemp_1587,16888,0.794766812555885,0.794766812555885,96,1.0,20121008,20211006,0,0.0,1,86401
NomFrict-PtcTorq,21234,0.9992940844275024,0.9992940844275024,96,1.0,20121008,20211006,0,0.0,1,86401
OpSeatDirSwtch,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
PTOCoastSwtch_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOCtlSwt_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOGovernorAccelSwtch,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
PTOGovernorCoastDecelSwtch,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
PTOGovernorEnableSwtch,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
PTOGovernorResSwtch,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
PTOGovernorSetSwtchEng,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
PTOGovernorState,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
